# mysql -h lsst-db.ncsa.illinois.edu -u abecker -D DC_W13_Stripe82 --password=XXXX -e "select run,camcol,field from Science_Ccd_Exposure where filterName='r' and (corner1Ra-360)>-44 and (corner2Ra-360)<-41"
# run	camcol	field
1033	3	11
1033	3	12
1033	1	11
1033	1	12
1033	4	12
1033	4	11
1033	6	11
1033	6	12
1033	5	11
1033	5	12
1033	2	12
1033	2	11
1040	6	109
1040	6	114
1040	6	107
1040	6	116
1040	6	122
1040	6	108
1040	6	113
1040	6	123
1040	6	118
1040	6	120
1040	6	125
1040	6	124
1040	6	111
1040	6	115
1040	6	119
1040	6	117
1040	6	112
1040	6	121
1040	6	110
1040	5	114
1040	5	113
1040	5	111
1040	5	121
1040	5	118
1040	5	119
1040	5	124
1040	5	117
1040	5	115
1040	5	116
1040	5	109
1040	5	120
1040	5	123
1040	5	110
1040	5	112
1040	5	122
1040	5	125
1040	5	107
1040	5	108
1040	4	113
1040	4	119
1040	4	114
1040	4	125
1040	4	115
1040	4	110
1040	4	112
1040	4	108
1040	4	116
1040	4	111
1040	4	118
1040	4	107
1040	4	120
1040	4	122
1040	4	117
1040	4	124
1040	4	123
1040	4	121
1040	4	109
1040	3	122
1040	3	107
1040	3	121
1040	3	117
1040	3	110
1040	3	120
1040	3	115
1040	3	113
1040	3	108
1040	3	125
1040	3	116
1040	3	112
1040	3	124
1040	3	109
1040	3	119
1040	3	123
1040	3	114
1040	3	111
1040	3	118
1040	2	119
1040	2	112
1040	2	107
1040	2	124
1040	2	118
1040	2	117
1040	2	116
1040	2	113
1040	2	114
1040	2	125
1040	2	111
1040	2	110
1040	2	115
1040	2	123
1040	2	109
1040	2	108
1040	2	122
1040	2	121
1040	2	120
1040	1	118
1040	1	116
1040	1	114
1040	1	115
1040	1	111
1040	1	109
1040	1	124
1040	1	112
1040	1	123
1040	1	117
1040	1	122
1040	1	107
1040	1	121
1040	1	119
1040	1	125
1040	1	108
1040	1	110
1040	1	113
1040	1	120
125	2	74
125	1	74
125	3	74
1755	3	99
1755	3	83
1755	3	88
1755	3	85
1755	3	94
1755	3	89
1755	3	101
1755	3	90
1755	3	92
1755	3	97
1755	3	376
1755	3	91
1755	3	98
1755	3	96
1755	3	95
1755	3	100
1755	3	84
1755	3	87
1755	3	93
1755	3	86
1755	1	100
1755	1	97
1755	1	99
1755	1	89
1755	1	96
1755	1	101
1755	1	94
1755	1	87
1755	1	86
1755	1	376
1755	1	85
1755	1	84
1755	1	95
1755	1	88
1755	1	83
1755	1	91
1755	1	90
1755	1	92
1755	1	98
1755	1	93
1755	2	87
1755	2	85
1755	2	376
1755	2	89
1755	2	96
1755	2	95
1755	2	93
1755	2	84
1755	2	94
1755	2	97
1755	2	98
1755	2	92
1755	2	86
1755	2	90
1755	2	83
1755	2	88
1755	2	91
1755	2	99
1755	2	100
1755	2	101
1755	4	101
1755	4	89
1755	4	92
1755	4	93
1755	4	86
1755	4	91
1755	4	99
1755	4	98
1755	4	95
1755	4	88
1755	4	84
1755	4	100
1755	4	376
1755	4	90
1755	4	97
1755	4	96
1755	4	85
1755	4	87
1755	4	94
1755	4	83
1755	5	92
1755	5	99
1755	5	86
1755	5	89
1755	5	83
1755	5	84
1755	5	98
1755	5	100
1755	5	88
1755	5	97
1755	5	91
1755	5	85
1755	5	95
1755	5	94
1755	5	87
1755	5	90
1755	5	93
1755	5	96
1755	5	101
1755	5	376
1755	6	96
1755	6	97
1755	6	94
1755	6	101
1755	6	95
1755	6	87
1755	6	98
1755	6	89
1755	6	86
1755	6	93
1755	6	88
1755	6	85
1755	6	90
1755	6	84
1755	6	83
1755	6	91
1755	6	376
1755	6	92
1755	6	100
1755	6	99
2385	6	81
2385	6	74
2385	6	86
2385	6	87
2385	6	71
2385	6	84
2385	6	75
2385	6	80
2385	6	79
2385	6	69
2385	6	72
2385	6	83
2385	6	82
2385	6	78
2385	6	77
2385	6	76
2385	6	73
2385	6	85
2385	6	70
2385	5	87
2385	5	71
2385	5	78
2385	5	85
2385	5	69
2385	5	73
2385	5	76
2385	5	80
2385	5	77
2385	5	72
2385	5	79
2385	5	83
2385	5	86
2385	5	75
2385	5	81
2385	5	70
2385	5	84
2385	5	74
2385	5	82
2385	4	73
2385	4	80
2385	4	77
2385	4	72
2385	4	76
2385	4	87
2385	4	69
2385	4	75
2385	4	81
2385	4	74
2385	4	84
2385	4	83
2385	4	78
2385	4	71
2385	4	85
2385	4	70
2385	4	86
2385	4	82
2385	4	79
2385	3	75
2385	3	71
2385	3	77
2385	3	85
2385	3	78
2385	3	82
2385	3	69
2385	3	74
2385	3	72
2385	3	79
2385	3	70
2385	3	73
2385	3	83
2385	3	87
2385	3	81
2385	3	76
2385	3	84
2385	3	80
2385	3	86
2385	2	87
2385	2	73
2385	2	76
2385	2	77
2385	2	83
2385	2	86
2385	2	82
2385	2	75
2385	2	78
2385	2	81
2385	2	85
2385	2	69
2385	2	84
2385	2	72
2385	2	71
2385	2	79
2385	2	74
